"","a8","a7","a6","a5","a4","a3","a2","a1","b8","b7","b6","b5","b4","b3","b2","b1","c8","c7","c6","c5","c4","c3","c2","c1","d8","d7","d6","d5","d4","d3","d2","d1","e8","e7","e6","e5","e4","e3","e2","e1","f8","f7","f6","f5","f4","f3","f2","f1","g8","g7","g6","g5","g4","g3","g2","g1","h8","h7","h6","h5","h4","h3","h2","h1"
"C1600W_5.Nf3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_5...Nc6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_6.Bb5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,"white Bishop",NA,NA,"white pawn",NA,"black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_6...Bd7","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,"white Bishop",NA,NA,"white pawn",NA,NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,"black Bishop","black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_7.b3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,"white Bishop",NA,"white pawn",NA,NA,NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn","white Bishop",NA,"black Bishop","black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_7...Nb4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,"white Bishop","black Knight","white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,"black Bishop","black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_8.Bd3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,"black Knight","white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,"black Bishop","black Queen","black pawn",NA,"white Bishop","white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_8...Be7","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,"black Knight","white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,"black Bishop","black Queen","black pawn",NA,"white Bishop","white pawn",NA,"black King","black Bishop",NA,"black pawn",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_9.Ba3","black Rook","black pawn",NA,NA,NA,"white Bishop","white pawn","white Rook",NA,"black pawn",NA,NA,"black Knight","white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn",NA,NA,"black Bishop","black Queen","black pawn",NA,"white Bishop","white pawn",NA,"black King","black Bishop",NA,"black pawn",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_9...Nxd3","black Rook","black pawn",NA,NA,NA,"white Bishop","white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight","white pawn",NA,NA,"black Bishop","black Queen","black pawn",NA,"black Knight","white pawn",NA,"black King","black Bishop",NA,"black pawn",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_10.cxd3","black Rook","black pawn",NA,NA,NA,"white Bishop","white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,"black Bishop","black Queen","black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop",NA,"black pawn",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_10...Qxa3","black Rook","black pawn",NA,NA,NA,"black Queen","white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,"black Bishop",NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop",NA,"black pawn",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,"white Knight","white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_11.Nxe5","black Rook","black pawn",NA,NA,NA,"black Queen","white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,"black Bishop",NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop",NA,"white Knight",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_11...Be6","black Rook","black pawn",NA,NA,NA,"black Queen","white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop","black Bishop","white Knight",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_12.Nb5","black Rook","black pawn",NA,NA,NA,"black Queen","white pawn","white Rook",NA,"black pawn",NA,"white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop","black Bishop","white Knight",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_12...Qc5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,"white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,"black Queen",NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop","black Bishop","white Knight",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_13.Qa4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,"white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,"black Queen",NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,"black King","black Bishop","black Bishop","white Knight",NA,"white pawn",NA,"white King",NA,"black pawn","black Knight",NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn",NA,"black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_13...O-O","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,"white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,"black Queen",NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn",NA,"white King","black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_14.Ke2","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,"white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,"black Queen",NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_14...Qb6","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn","black Queen","white Knight",NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_15.Nc3","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn","black Queen",NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_15...Qd6","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_16.Qd4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,"black pawn",NA,NA,NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn","white Queen","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_16...c5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn","white Queen","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_17.Qf4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white Queen",NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_17...Nh5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn",NA,NA,"white Queen",NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,"black Knight",NA,NA,"white pawn","white Rook"
"C1600W_18.Qa4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,"black Queen","black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","white Knight",NA,"white pawn","white King",NA,"black rook","black pawn",NA,NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,"black Knight",NA,NA,"white pawn","white Rook"
"C1600W_18...Qxe5","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn",NA,NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,NA,NA,"white pawn",NA,NA,"black pawn",NA,"black Knight",NA,NA,"white pawn","white Rook"
"C1600W_19.g4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn",NA,NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,"black Knight",NA,NA,"white pawn","white Rook"
"C1600W_19...Nf6","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_20.h3","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,"black pawn",NA,"white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_20...d4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,NA,NA,"white pawn",NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_21.f4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook",NA,"black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop","black Queen",NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_21...Qb8","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen","black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,"white Knight",NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_22.Ne4","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen","black pawn",NA,NA,NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_22...b5","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook","black Queen",NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_23.Qa3","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook","black Queen",NA,NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_23...Qb7","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,"black Queen",NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"black pawn",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,"white Knight","white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
"C1600W_24.Nxc5","black Rook","black pawn",NA,NA,NA,"white Queen","white pawn","white Rook",NA,"black Queen",NA,"black pawn",NA,"white pawn",NA,NA,NA,NA,NA,"white Knight",NA,NA,NA,NA,NA,NA,NA,NA,"black pawn","white pawn","white pawn",NA,NA,"black Bishop","black Bishop",NA,NA,"white pawn","white King",NA,"black rook","black pawn","black Knight",NA,"white pawn",NA,NA,NA,"black king","black pawn",NA,NA,"white pawn",NA,NA,NA,NA,"black pawn",NA,NA,NA,"white pawn",NA,"white Rook"
